time [s]	crank-angle [deg]	pressure [bar]	temperature [K]	volume [cm³]	mass [mg]
0.400006	420.100000	3.449751	2282.204900	155.918418	0.081780
0.400011	420.200000	3.447546	2282.215201	156.263562	0.081908
0.400017	420.300000	3.445343	2282.223964	156.608924	0.082036
0.400022	420.400000	3.443141	2282.231196	156.954503	0.082164
0.400028	420.500000	3.440939	2282.236902	157.300298	0.082292
0.400033	420.600000	3.438739	2282.241092	157.646307	0.082421
0.400039	420.700000	3.436540	2282.243770	157.992529	0.082549
0.400044	420.800000	3.434341	2282.244944	158.338962	0.082677
0.400050	420.900000	3.432144	2282.244621	158.685605	0.082805
0.400056	421.000000	3.429948	2282.242807	159.032456	0.082933
0.400061	421.100000	3.427753	2282.239510	159.379515	0.083061
0.400067	421.200000	3.425559	2282.234735	159.726779	0.083188
0.400072	421.300000	3.423366	2282.228491	160.074246	0.083316
0.400078	421.400000	3.421173	2282.220783	160.421917	0.083444
0.400083	421.500000	3.418983	2282.211618	160.769789	0.083572
0.400089	421.600000	3.416793	2282.201003	161.117860	0.083699
0.400094	421.700000	3.414604	2282.188944	161.466129	0.083827
0.400100	421.800000	3.412416	2282.175449	161.814596	0.083955
0.400106	421.900000	3.410230	2282.160523	162.163257	0.084082
0.400111	422.000000	3.408044	2282.144174	162.512113	0.084210
0.400117	422.100000	3.405860	2282.126408	162.861161	0.084337
0.400122	422.200000	3.403677	2282.107231	163.210400	0.084465
0.400128	422.300000	3.401495	2282.086650	163.559828	0.084592
0.400133	422.400000	3.399314	2282.064671	163.909445	0.084719
0.400139	422.500000	3.397135	2282.041302	164.259248	0.084846
0.400144	422.600000	3.394956	2282.016548	164.609236	0.084974
0.400150	422.700000	3.392779	2281.990416	164.959408	0.085101
0.400156	422.800000	3.390603	2281.962912	165.309762	0.085228
0.400161	422.900000	3.388428	2281.934043	165.660297	0.085355
0.400167	423.000000	3.386254	2281.903815	166.011012	0.085482
0.400172	423.100000	3.384082	2281.872235	166.361904	0.085609
