time [s]	pressure [bar]	temperature [K]	mass [kg]
0.400006	14.429646	2758.863013	0.001025
0.400011	14.414181	2758.205386	0.001025
0.400017	14.399470	2757.579295	0.001024
0.400022	14.385522	2756.985263	0.001023
0.400028	14.372349	2756.423806	0.001022
0.400033	14.359962	2755.895437	0.001022
0.400039	14.348369	2755.400665	0.001021
0.400044	14.337581	2754.939994	0.001020
0.400050	14.327610	2754.513923	0.001020
0.400056	14.318464	2754.122950	0.001019
0.400061	14.310155	2753.767569	0.001019
0.400067	14.302693	2753.448272	0.001018
0.400072	14.296088	2753.165554	0.001018
0.400078	14.290351	2752.919914	0.001018
0.400083	14.285493	2752.711869	0.001017
0.400089	14.281527	2752.541961	0.001017
0.400094	14.278466	2752.410803	0.001017
0.400100	14.276327	2752.319175	0.001017
0.400106	14.275144	2752.268464	0.001017
0.400111	14.275394	2752.284186	0.001017
0.400117	14.274329	2752.238546	0.001017
0.400122	14.274742	2752.264532	0.001017
0.400128	14.273589	2752.215084	0.001017
0.400133	14.274024	2752.242439	0.001017
0.400139	14.272865	2752.192784	0.001017
0.400144	14.273359	2752.223790	0.001017
0.400150	14.272178	2752.173201	0.001017
0.400156	14.272717	2752.207056	0.001017
0.400161	14.271523	2752.155849	0.001017
0.400167	14.272108	2752.192589	0.001017
0.400172	14.270900	2752.140800	0.001017
0.400178	14.271529	2752.180295	0.001017
0.400183	14.270309	2752.128002	0.001017
0.400189	14.270981	2752.170172	0.001017
0.400194	14.269750	2752.117433	0.001017
0.400200	14.270464	2752.162205	0.001017
0.400206	14.269225	2752.109071	0.001016
0.400211	14.269979	2752.156378	0.001017
0.400217	14.268731	2752.102896	0.001016
0.400222	14.269525	2752.152680	0.001016
0.400228	14.268271	2752.098890	0.001016
0.400233	14.269104	2752.151097	0.001016
0.400239	14.267843	2752.097037	0.001016
0.400244	14.268714	2752.151619	0.001016
0.400250	14.267447	2752.097321	0.001016
0.400256	14.268356	2752.154234	0.001016
0.400261	14.267085	2752.099730	0.001016
