time [s]	pressure [bar]	temperature [K]	mass [kg]
0.400006	3.457299	2638.178486	0.000257
0.400011	3.455077	2637.800198	0.000257
0.400017	3.452856	2637.421886	0.000257
0.400022	3.450636	2637.043553	0.000257
0.400028	3.448417	2636.665201	0.000256
0.400033	3.446199	2636.286830	0.000256
0.400039	3.443983	2635.908443	0.000256
0.400044	3.441767	2635.530042	0.000256
0.400050	3.439552	2635.151628	0.000256
0.400056	3.437339	2634.773203	0.000256
0.400061	3.435126	2634.394769	0.000256
0.400067	3.432915	2634.016326	0.000256
0.400072	3.430704	2633.637878	0.000255
0.400078	3.428495	2633.259426	0.000255
0.400083	3.426287	2632.880970	0.000255
0.400089	3.424080	2632.502514	0.000255
0.400094	3.421874	2632.124059	0.000255
0.400100	3.419670	2631.745605	0.000255
0.400106	3.417466	2631.367156	0.000255
0.400111	3.415264	2630.988713	0.000254
0.400117	3.413062	2630.610276	0.000254
0.400122	3.410862	2630.231849	0.000254
0.400128	3.408663	2629.853433	0.000254
0.400133	3.406466	2629.475028	0.000254
0.400139	3.404269	2629.096638	0.000254
0.400144	3.402074	2628.718263	0.000254
0.400150	3.399880	2628.339906	0.000254
0.400156	3.397687	2627.961567	0.000253
0.400161	3.395496	2627.583248	0.000253
0.400167	3.393305	2627.204952	0.000253
0.400172	3.391116	2626.826679	0.000253
0.400178	3.388929	2626.448432	0.000253
0.400183	3.386742	2626.070211	0.000253
0.400189	3.384557	2625.692019	0.000253
0.400194	3.382373	2625.313857	0.000253
0.400200	3.380191	2624.935727	0.000252
0.400206	3.378009	2624.557630	0.000252
0.400211	3.375829	2624.179568	0.000252
0.400217	3.373651	2623.801542	0.000252
0.400222	3.371473	2623.423555	0.000252
0.400228	3.369297	2623.045607	0.000252
0.400233	3.367123	2622.667700	0.000252
0.400239	3.364950	2622.289836	0.000252
0.400244	3.362778	2621.912016	0.000251
0.400250	3.360607	2621.534242	0.000251
0.400256	3.358438	2621.156515	0.000251
0.400261	3.356270	2620.778837	0.000251
0.400267	3.354104	2620.401210	0.000251
0.400272	3.351939	2620.023635	0.000251
0.400278	3.349776	2619.646113	0.000251
0.400283	3.347614	2619.268647	0.000251
0.400289	3.345453	2618.891237	0.000250
0.400294	3.343294	2618.513885	0.000250
0.400300	3.341136	2618.136593	0.000250
0.400306	3.338980	2617.759362	0.000250
0.400311	3.336825	2617.382194	0.000250
0.400317	3.334672	2617.005090	0.000250
0.400322	3.332520	2616.628052	0.000250
0.400328	3.330369	2616.251081	0.000250
0.400333	3.328221	2615.874179	0.000249
0.400339	3.326073	2615.497347	0.000249
0.400344	3.323927	2615.120586	0.000249
0.400350	3.321783	2614.743899	0.000249
0.400356	3.319640	2614.367286	0.000249
0.400361	3.317499	2613.990750	0.000249
0.400367	3.315359	2613.614291	0.000249
0.400372	3.313221	2613.237911	0.000249
0.400378	3.311084	2612.861611	0.000248
0.400383	3.308949	2612.485394	0.000248
0.400389	3.306816	2612.109260	0.000248
0.400394	3.304684	2611.733211	0.000248
0.400400	3.302553	2611.357248	0.000248
