time [s]	crank-angle [deg]	mass flow [kg/s]	enthalpy flow [J/s]	throat area [cm²]
0.400006	180.100000	0.153852	550454.944302	4.481708
0.400011	180.200000	0.146389	523619.569232	4.496092
0.400017	180.300000	0.138817	496414.111018	4.510461
0.400022	180.400000	0.131137	468839.928875	4.524815
0.400028	180.500000	0.123348	440898.293298	4.539153
0.400033	180.600000	0.115453	412590.316437	4.553477
0.400039	180.700000	0.107450	383916.853626	4.567784
0.400044	180.800000	0.099341	354878.360811	4.582077
0.400050	180.900000	0.091125	325474.682324	4.596354
0.400056	181.000000	0.082803	295704.724222	4.610616
0.400061	181.100000	0.074374	265565.930760	4.624862
0.400067	181.200000	0.065837	235053.402579	4.639093
0.400072	181.300000	0.057189	204158.315694	4.653309
0.400078	181.400000	0.048428	172864.848808	4.667509
0.400083	181.500000	0.039545	141143.527492	4.681693
0.400089	181.600000	0.030522	108934.396159	4.695862
0.400094	181.700000	0.021322	76092.791728	4.710016
0.400100	181.800000	0.011800	42110.435943	4.723955
0.400106	181.900000	-0.002160	-8896.232829	4.737319
0.400111	182.000000	0.010620	37897.366582	4.750700
0.400117	182.100000	-0.003572	-14708.794906	4.764099
0.400122	182.200000	0.011505	41057.765518	4.777515
0.400128	182.300000	-0.003761	-15487.771422	4.790949
0.400133	182.400000	0.011553	41227.717435	4.804399
0.400139	182.500000	-0.004265	-17560.090274	4.817864
0.400144	182.600000	0.011770	42001.775883	4.831346
0.400150	182.700000	-0.004660	-19179.591759	4.844842
0.400156	182.800000	0.011913	42512.949525	4.858353
0.400161	182.900000	-0.005059	-20820.152216	4.871879
0.400167	183.000000	0.012048	42994.436844	4.885418
0.400172	183.100000	-0.005441	-22388.007556	4.898970
0.400178	183.200000	0.012165	43411.118351	4.912536
0.400183	183.300000	-0.005812	-23911.980574	4.926114
0.400189	183.400000	0.012269	43779.851262	4.939704
0.400194	183.500000	-0.006174	-25394.430841	4.953306
0.400200	183.600000	0.012360	44105.515028	4.966919
0.400206	183.700000	-0.006526	-26840.737649	4.980544
0.400211	183.800000	0.012441	44393.317241	4.994179
0.400217	183.900000	-0.006871	-28254.692493	5.007824
0.400222	184.000000	0.012512	44647.264372	5.021479
0.400228	184.100000	-0.007209	-29639.483055	5.035144
0.400233	184.200000	0.012574	44870.672024	5.048817
0.400239	184.300000	-0.007541	-30997.755100	5.062500
0.400244	184.400000	0.012629	45066.299662	5.076190
0.400250	184.500000	-0.007867	-32331.740843	5.089889
0.400256	184.600000	0.012677	45236.475148	5.103596
0.400261	184.700000	-0.008187	-33643.343091	5.117310
0.400267	184.800000	0.012718	45383.182990	5.131030
0.400272	184.900000	-0.008503	-34934.199250	5.144758
0.400278	185.000000	0.012753	45508.130725	5.158492
0.400283	185.100000	-0.008814	-36205.730004	5.172232
0.400289	185.200000	0.012782	45612.799500	5.185977
0.400294	185.300000	-0.009120	-37459.176986	5.199728
0.400300	185.400000	0.012806	45698.483240	5.213484
0.400306	185.500000	-0.009423	-38695.632350	5.227244
0.400311	185.600000	0.012825	45766.319407	5.241010
