time [s]	crank-angle [deg]	mass flow [kg/s]	enthalpy flow [J/s]	throat area [cm²]
0.400006	180.100000	0.000000	0.000000	0.000000
0.400011	180.200000	0.000000	0.000000	0.000000
0.400017	180.300000	0.000000	0.000000	0.000000
0.400022	180.400000	0.000000	0.000000	0.000000
0.400028	180.500000	0.000000	0.000000	0.000000
0.400033	180.600000	0.000000	0.000000	0.000000
0.400039	180.700000	0.000000	0.000000	0.000000
0.400044	180.800000	0.000000	0.000000	0.000000
0.400050	180.900000	0.000000	0.000000	0.000000
0.400056	181.000000	0.000000	0.000000	0.000000
0.400061	181.100000	0.000000	0.000000	0.000000
0.400067	181.200000	0.000000	0.000000	0.000000
0.400072	181.300000	0.000000	0.000000	0.000000
0.400078	181.400000	0.000000	0.000000	0.000000
0.400083	181.500000	0.000000	0.000000	0.000000
0.400089	181.600000	0.000000	0.000000	0.000000
0.400094	181.700000	0.000000	0.000000	0.000000
0.400100	181.800000	0.000000	0.000000	0.000000
0.400106	181.900000	0.000000	0.000000	0.000000
0.400111	182.000000	0.000000	0.000000	0.000000
0.400117	182.100000	0.000000	0.000000	0.000000
0.400122	182.200000	0.000000	0.000000	0.000000
0.400128	182.300000	0.000000	0.000000	0.000000
0.400133	182.400000	0.000000	0.000000	0.000000
0.400139	182.500000	0.000000	0.000000	0.000000
0.400144	182.600000	0.000000	0.000000	0.000000
0.400150	182.700000	0.000000	0.000000	0.000000
0.400156	182.800000	0.000000	0.000000	0.000000
0.400161	182.900000	0.000000	0.000000	0.000000
0.400167	183.000000	0.000000	0.000000	0.000000
0.400172	183.100000	0.000000	0.000000	0.000000
0.400178	183.200000	0.000000	0.000000	0.000000
0.400183	183.300000	0.000000	0.000000	0.000000
0.400189	183.400000	0.000000	0.000000	0.000000
0.400194	183.500000	0.000000	0.000000	0.000000
0.400200	183.600000	0.000000	0.000000	0.000000
0.400206	183.700000	0.000000	0.000000	0.000000
0.400211	183.800000	0.000000	0.000000	0.000000
0.400217	183.900000	0.000000	0.000000	0.000000
0.400222	184.000000	0.000000	0.000000	0.000000
0.400228	184.100000	0.000000	0.000000	0.000000
0.400233	184.200000	0.000000	0.000000	0.000000
0.400239	184.300000	0.000000	0.000000	0.000000
0.400244	184.400000	0.000000	0.000000	0.000000
0.400250	184.500000	0.000000	0.000000	0.000000
0.400256	184.600000	0.000000	0.000000	0.000000
0.400261	184.700000	0.000000	0.000000	0.000000
0.400267	184.800000	0.000000	0.000000	0.000000
0.400272	184.900000	0.000000	0.000000	0.000000
0.400278	185.000000	0.000000	0.000000	0.000000
0.400283	185.100000	0.000000	0.000000	0.000000
0.400289	185.200000	0.000000	0.000000	0.000000
0.400294	185.300000	0.000000	0.000000	0.000000
0.400300	185.400000	0.000000	0.000000	0.000000
0.400306	185.500000	0.000000	0.000000	0.000000
0.400311	185.600000	0.000000	0.000000	0.000000
0.400317	185.700000	0.000000	0.000000	0.000000
0.400322	185.800000	0.000000	0.000000	0.000000
0.400328	185.900000	0.000000	0.000000	0.000000
0.400333	186.000000	0.000000	0.000000	0.000000
